Distrito	Barrio	Dirección	Tipo de Reserva	Línea / Batería	Número de Plazas
Sin Asignar	Sin Asignar	CAÑADA REAL DE MERINAS, 136	PMR	Batería	1
Sin Asignar	Sin Asignar	CAÑADA REAL DE MERINAS, 136	PMR	Batería	2
Sin Asignar	Sin Asignar	CARRETERA  DEL VERTEDERO MUNICIPAL VALDEMINGOMEZ, 1	PMR	Línea	1
Sin Asignar	Sin Asignar	CARRETERA  DEL VERTEDERO MUNICIPAL VALDEMINGOMEZ, 1	PMR	Línea	1
Sin Asignar	Sin Asignar	CARRETERA  DEL VERTEDERO MUNICIPAL VALDEMINGOMEZ, 1	PMR	Batería	1
Sin Asignar	Sin Asignar	CARRETERA  DEL VERTEDERO MUNICIPAL VALDEMINGOMEZ, 1	PMR	unknown	1
Sin Asignar	Sin Asignar	CARRETERA  DEL VERTEDERO MUNICIPAL VALDEMINGOMEZ, 1	PMR	Línea	1
Sin Asignar	Sin Asignar	CARRETERA  DEL VERTEDERO MUNICIPAL VALDEMINGOMEZ, 1	PMR	Batería	1
01  CENTRO	01-06 SOL	CALLE  DE LA ABADA, 9	PMR	Línea	2
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DEL ACUERDO, 37	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DEL ACUERDO, 38	PMR	Línea	1
01  CENTRO	01-01 PALACIO	CALLE  DE LAS AGUAS, 4	PMR	Línea	1
01  CENTRO	01-01 PALACIO	CALLE  DE LAS AGUAS, 10	PMR	Línea	1
01  CENTRO	01-03 CORTES	CALLE  DE LA ALAMEDA, 14	PMR	Línea	1
01  CENTRO	01-01 PALACIO	CALLE  DE ALGECIRAS, 3	PMR	Línea	1
01  CENTRO	01-03 CORTES	CALLE  DE ALMADEN, 5	PMR	Línea	1
01  CENTRO	01-04 JUSTICIA	CALLE  DEL ALMIRANTE, 3	PMR	Línea	1
01  CENTRO	01-04 JUSTICIA	CALLE  DEL ALMIRANTE, 29	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DE AMANIEL, 30	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DE AMANIEL, 33	PMR	Línea	2
01  CENTRO	01-02 EMBAJADORES	CALLE  DE LAS AMAZONAS	PMR	Batería	1
01  CENTRO	01-03 CORTES	CALLE  DEL AMOR DE DIOS, 10	PMR	Línea	1
01  CENTRO	01-02 EMBAJADORES	CALLE  DE AMPARO, 91	PMR	Línea	1
01  CENTRO	01-01 PALACIO	COSTANILLA  DE LOS ANGELES, 5	PMR	Línea	1
01  CENTRO	01-04 JUSTICIA	CALLE  DE APODACA, 15	PMR	Línea	1
01  CENTRO	01-06 SOL	TRAVESIA  DEL ARENAL, 4	PMR	Línea	1
01  CENTRO	01-04 JUSTICIA	CALLE  DE ARGENSOLA, 3	PMR	Línea	1
01  CENTRO	01-04 JUSTICIA	CALLE  DE ARGENSOLA, 19	PMR	Línea	1
01  CENTRO	01-02 EMBAJADORES	CALLE  DE ARGUMOSA, 3	PMR	Batería	2
01  CENTRO	01-02 EMBAJADORES	CALLE  DE ARGUMOSA, 9	PMR	Batería	1
01  CENTRO	01-02 EMBAJADORES	CALLE  DE ARGUMOSA, 28	PMR	Línea	1
01  CENTRO	01-03 CORTES	CALLE  DE ARLABAN, 10	PMR	Línea	1
01  CENTRO	01-01 PALACIO	CALLE  DE ARRIETA, 9	PMR	Línea	1
01  CENTRO	01-01 PALACIO	CALLE  DE ARRIETA, 11	PMR	Línea	2
01  CENTRO	01-02 EMBAJADORES	CALLE  DE ATOCHA, 19	PMR	Línea	1
01  CENTRO	01-03 CORTES	CALLE  DE ATOCHA, 95	PMR	Línea	1
01  CENTRO	01-03 CORTES	CALLE  DE ATOCHA, 111	PMR	Línea	2
01  CENTRO	01-02 EMBAJADORES	RONDA  DE ATOCHA, 14	PMR	Línea	1
01  CENTRO	01-04 JUSTICIA	CALLE  DE AUGUSTO FIGUEROA, 29	PMR	Línea	1
01  CENTRO	01-02 EMBAJADORES	CALLE  DEL AVE MARIA, 23	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DE BALTASAR GRACIAN, 6	PMR	Línea	1
01  CENTRO	01-04 JUSTICIA	CALLE  DE BARBARA DE BRAGANZA, 6	PMR	Batería	1
01  CENTRO	01-04 JUSTICIA	CALLE  DE BARBARA DE BRAGANZA, 8	PMR	Batería	1
01  CENTRO	01-04 JUSTICIA	CALLE  DE BARBARA DE BRAGANZA, 10	PMR	Batería	2
01  CENTRO	01-04 JUSTICIA	CALLE  DE BARCELO, 11	PMR	Línea	1
01  CENTRO	01-04 JUSTICIA	CALLE  DEL BARQUILLO, 1	PMR	Línea	1
01  CENTRO	01-04 JUSTICIA	CALLE  DEL BARQUILLO, 9	PMR	Línea	1
01  CENTRO	01-04 JUSTICIA	CALLE  DEL BARQUILLO, 15	PMR	Línea	1
01  CENTRO	01-04 JUSTICIA	CALLE  DE BELEN, 5	PMR	Línea	2
01  CENTRO	01-06 SOL	CALLE  DE LOS BORDADORES, 11	PMR	Línea	1
01  CENTRO	01-06 SOL	CALLE  DE LOS BORDADORES, 13	PMR	Línea	1
01  CENTRO	01-01 PALACIO	CALLE  DE CALATRAVA, 7	PMR	Línea	1
01  CENTRO	01-04 JUSTICIA	CALLE  DE CAMPOAMOR, 16	PMR	Línea	1
01  CENTRO	01-02 EMBAJADORES	CALLE  DEL CAPITAN SALAZAR MARTINEZ, 5	PMR	Línea	1
01  CENTRO	01-01 PALACIO	PLAZA  DE LA CEBADA, 9	PMR	Línea	1
01  CENTRO	01-01 PALACIO	PLAZA  DE LA CEBADA, 16	PMR	Línea	1
01  CENTRO	01-01 PALACIO	PLAZA  DE LA CEBADA, 17	PMR	Línea	1
01  CENTRO	01-04 JUSTICIA	CALLE  DE CHURRUCA, 5	PMR	Línea	1
01  CENTRO	01-04 JUSTICIA	CALLE  DE CHURRUCA, 27	PMR	Línea	2
01  CENTRO	01-04 JUSTICIA	CALLE  DEL CLAVEL, 8	PMR	Línea	1
01  CENTRO	01-01 PALACIO	PLAZA  DEL COMANDANTE LAS MORENAS, 1	PMR	Línea	1
01  CENTRO	01-06 SOL	PLAZA  DEL COMANDANTE LAS MORENAS, 5	PMR	Batería	1
01  CENTRO	01-02 EMBAJADORES	CALLE  DE LA CONCEPCION JERONIMA, 15	PMR	Línea	1
01  CENTRO	01-02 EMBAJADORES	CALLE  DEL CONDE DE ROMANONES, 5	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	PLAZA  DEL CONDE DE TORENO, 5	PMR	Línea	1
01  CENTRO	01-04 JUSTICIA	CALLE  DEL CONDE DE XIQUENA, 1	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DEL CONDE DUQUE, 5	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DEL CONDE DUQUE, 34	PMR	Línea	1
01  CENTRO	01-01 PALACIO	CALLE  DE LA CRUZADA, 3	PMR	Línea	2
01  CENTRO	01-01 PALACIO	CUESTA  DE LAS DESCARGAS, 10	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DEL DESENGAÑO, 13	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DEL DESENGAÑO, 13	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DEL DIVINO PASTOR, 12	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DEL DIVINO PASTOR, 26	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DEL DIVINO PASTOR, Fte 5	PMR	Línea	1
01  CENTRO	01-02 EMBAJADORES	CALLE  DEL DOCTOR FOURQUET, 35	PMR	Línea	1
01  CENTRO	01-02 EMBAJADORES	CALLE  DEL DOCTOR PIGA, 7	PMR	Línea	2
01  CENTRO	01-02 EMBAJADORES	CALLE  DEL DOCTOR PIGA, 11	PMR	Línea	1
01  CENTRO	01-01 PALACIO	CALLE  DE DON PEDRO, 15	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DEL DOS DE MAYO, 2	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DEL DOS DE MAYO, 8	PMR	Línea	2
01  CENTRO	01-02 EMBAJADORES	CALLE  DEL DUQUE DE RIVAS, 2	PMR	Línea	1
01  CENTRO	01-02 EMBAJADORES	CALLE  DE EMBAJADORES, 12	PMR	Línea	2
01  CENTRO	01-02 EMBAJADORES	CALLE  DE EMBAJADORES, 31	PMR	Línea	3
01  CENTRO	01-02 EMBAJADORES	CALLE  DE EMBAJADORES, 45	PMR	Línea	1
01  CENTRO	01-01 PALACIO	CALLE  DE LA ENCARNACION, 4	PMR	Línea	1
01  CENTRO	01-01 PALACIO	CALLE  DE LA ESCALINATA, 15	PMR	Línea	1
01  CENTRO	01-02 EMBAJADORES	CALLE  DE LA ESCUADRA, 12	PMR	Línea	1
01  CENTRO	01-06 SOL	CALLE  DE ESPARTEROS, 13	PMR	Línea	2
01  CENTRO	01-02 EMBAJADORES	CALLE  DE ESPERANZA, 6	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DEL ESPIRITU SANTO, 28	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DEL ESPIRITU SANTO, 40	PMR	Línea	1
01  CENTRO	01-03 CORTES	CALLE  DE ESPOZ Y MINA, 40	PMR	Línea	2
01  CENTRO	01-02 EMBAJADORES	CALLE  DE LOS ESTUDIOS, 2	PMR	Línea	1
01  CENTRO	01-01 PALACIO	CALLE  DE LA FLOR BAJA, 6	PMR	Línea	1
01  CENTRO	01-04 JUSTICIA	CALLE  DE FUENCARRAL, 100	PMR	Línea	1
01  CENTRO	01-06 SOL	CALLE  DE LAS FUENTES, 10	PMR	Línea	1
01  CENTRO	01-04 JUSTICIA	CALLE  DEL GENERAL CASTAÑOS, 11	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DEL GENERAL MITRE, 4	PMR	Línea	1
01  CENTRO	01-02 EMBAJADORES	PLAZA  DEL GENERAL VARA DE REY, 3	PMR	Batería	1
01  CENTRO	01-01 PALACIO	AVENIDA  DE LA GRAN VIA DE SAN FRANCISCO, 5	PMR	Línea	1
01  CENTRO	01-06 SOL	CALLE  DE LAS HILERAS, 8	PMR	Línea	1
01  CENTRO	01-04 JUSTICIA	CALLE  DE HORTALEZA, 23	PMR	Línea	1
01  CENTRO	01-04 JUSTICIA	CALLE  DE HORTALEZA, 43	PMR	Línea	1
01  CENTRO	01-04 JUSTICIA	CALLE  DE HORTALEZA, 57	PMR	Línea	1
01  CENTRO	01-04 JUSTICIA	CALLE  DE HORTALEZA, 61	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DE JESUS DEL VALLE, 26	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DE JESUS DEL VALLE, 32	PMR	Línea	1
01  CENTRO	01-03 CORTES	PLAZA  DE JESUS, 5	PMR	Línea	1
01  CENTRO	01-03 CORTES	CALLE  DE JOVELLANOS, 4	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DE JUAN DE DIOS, 4	PMR	Línea	1
01  CENTRO	01-01 PALACIO	CALLE  DE JUAN DE HERRERA, 1	PMR	Línea	1
01  CENTRO	01-02 EMBAJADORES	CALLE  DE JUANELO, 18	PMR	Línea	1
01  CENTRO	01-02 EMBAJADORES	CALLE  DE LAVAPIES, 18	PMR	Línea	1
01  CENTRO	01-01 PALACIO	CALLE  DE LEGANITOS, 43	PMR	Línea	1
01  CENTRO	01-03 CORTES	CALLE  DEL LEON, 28	PMR	Línea	1
01  CENTRO	01-04 JUSTICIA	CALLE  DE LA LIBERTAD, 30	PMR	Línea	1
01  CENTRO	01-03 CORTES	CALLE  DE LOPE DE VEGA, 13	PMR	Línea	1
01  CENTRO	01-03 CORTES	CALLE  DE LOPE DE VEGA, 37	PMR	Línea	2
01  CENTRO	01-02 EMBAJADORES	CALLE  DE LOPEZ SILVA, 2	PMR	Línea	1
01  CENTRO	01-03 CORTES	CALLE  DE LOS MADRAZO, 19	PMR	Línea	1
01  CENTRO	01-03 CORTES	CALLE  DEL MARQUES DE CASA RIERA, 4	PMR	Línea	1
01  CENTRO	01-03 CORTES	CALLE  DEL MARQUES DE CUBAS, 27	PMR	Línea	1
01  CENTRO	01-04 JUSTICIA	CALLE  DEL MARQUES DE LA ENSENADA, 3	PMR	Línea	1
01  CENTRO	01-04 JUSTICIA	CALLE  DEL MARQUES DE MONASTERIO, 3	PMR	Batería	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DEL MARQUES DE SANTA ANA, 20	PMR	Línea	1
01  CENTRO	01-06 SOL	CALLE MAYOR, 11	PMR	Línea	2
01  CENTRO	01-01 PALACIO	CALLE MAYOR, 81	PMR	Batería	2
01  CENTRO	01-02 EMBAJADORES	CALLE  DEL MESON DE PAREDES, 73	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DE LAS MINAS, 24	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DEL MOLINO DE VIENTO, 21	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DE MONTELEON, 14	PMR	Línea	1
01  CENTRO	01-01 PALACIO	CALLE  DE LA MORERIA, 1	PMR	Línea	1
01  CENTRO	01-01 PALACIO	CALLE  DE LA MORERIA, 17	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DEL NORTE, 12	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DEL NOVICIADO, 5 A	PMR	Línea	1
01  CENTRO	01-02 EMBAJADORES	CALLE  DEL OLIVAR, 4	PMR	Línea	1
01  CENTRO	01-04 JUSTICIA	CALLE  DE PELAYO, 68	PMR	Línea	1
01  CENTRO	01-04 JUSTICIA	CALLE  DE PELAYO, 84	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DEL PEZ, 14	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DEL PEZ, 19	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DEL PEZ, 20	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DE PONCIANO, 6	PMR	Línea	1
01  CENTRO	01-03 CORTES	CALLE  DEL PRADO, 24	PMR	Línea	2
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DE LA PUEBLA, 13	PMR	Línea	1
01  CENTRO	01-01 PALACIO	PLAZA  DE LA PUERTA DE MOROS, 4	PMR	Línea	1
01  CENTRO	01-03 CORTES	CALLE  DE QUEVEDO, 1	PMR	Línea	1
01  CENTRO	01-01 PALACIO	CALLE  DE LA REDONDILLA, 7	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DE LOS REYES, 7	PMR	Línea	1
01  CENTRO	01-02 EMBAJADORES	CALLE  DE LA RIBERA DE CURTIDORES, 17	PMR	Línea	2
01  CENTRO	01-01 PALACIO	CALLE  DEL ROSARIO, 15	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DE RUIZ, 5	PMR	Línea	1
01  CENTRO	01-02 EMBAJADORES	CALLE  DEL SALITRE, 7	PMR	Línea	2
01  CENTRO	01-02 EMBAJADORES	CALLE  DEL SALITRE, 31	PMR	Línea	1
01  CENTRO	01-03 CORTES	CALLE  DE SAN AGUSTIN, 5	PMR	Línea	1
01  CENTRO	01-06 SOL	CALLE  DE SAN ALBERTO, 1	PMR	Línea	2
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DE SAN ANDRES, 17	PMR	Línea	1
01  CENTRO	01-01 PALACIO	COSTANILLA  DE SAN ANDRES, 10	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DE SAN BERNARDO, 20	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DE SAN BERNARDO, 24	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DE SAN BERNARDO, 36	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DE SAN BERNARDO, 64	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DE SAN BERNARDO, 79	PMR	Línea	1
01  CENTRO	01-01 PALACIO	CALLE  DE SAN BUENAVENTURA, 2	PMR	Línea	1
01  CENTRO	01-01 PALACIO	CALLE  DE SAN BUENAVENTURA, 14	PMR	Línea	1
01  CENTRO	01-02 EMBAJADORES	CALLE  DE SAN CARLOS, 1	PMR	Línea	1
01  CENTRO	01-01 PALACIO	CARRERA  DE SAN FRANCISCO, 16	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DE SAN HERMENEGILDO, 7	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DE SAN HERMENEGILDO, 21	PMR	Línea	2
01  CENTRO	01-02 EMBAJADORES	CALLE  DE SAN ILDEFONSO, 7	PMR	Línea	2
01  CENTRO	01-01 PALACIO	CALLE  DE SAN JUSTO, 1	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DE SAN LEONARDO, 8	PMR	Línea	1
01  CENTRO	01-04 JUSTICIA	CALLE  DE SAN LORENZO, 20	PMR	Línea	1
01  CENTRO	01-04 JUSTICIA	CALLE  DE SAN MARCOS, 43	PMR	Línea	1
01  CENTRO	01-04 JUSTICIA	TRAVESIA  DE SAN MATEO, 4	PMR	Línea	1
01  CENTRO	01-01 PALACIO	COSTANILLA  DE SAN PEDRO, 6	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	COSTANILLA  DE SAN VICENTE, 8	PMR	Línea	1
01  CENTRO	01-04 JUSTICIA	CALLE  DE SANTA BRIGIDA, 10	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DE SANTA CRUZ DE MARCENADO, 2	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DE SANTA CRUZ DE MARCENADO, 13	PMR	Línea	2
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DE SANTA CRUZ DE MARCENADO, 17	PMR	Línea	1
01  CENTRO	01-02 EMBAJADORES	CALLE  DE SANTA ISABEL, 7	PMR	Línea	2
01  CENTRO	01-02 EMBAJADORES	CALLE  DE SANTA ISABEL, 42	PMR	Línea	1
01  CENTRO	01-02 EMBAJADORES	CALLE  DE SANTA ISABEL, 47	PMR	Batería	1
01  CENTRO	01-02 EMBAJADORES	CALLE  DE SANTA ISABEL, 50	PMR	Batería	1
01  CENTRO	01-04 JUSTICIA	CALLE  DE SANTA TERESA, 2	PMR	Línea	1
01  CENTRO	01-04 JUSTICIA	CALLE  DE SANTA TERESA, 7	PMR	Línea	1
01  CENTRO	01-01 PALACIO	PLAZA  DE SANTO DOMINGO, 11	PMR	Línea	1
01  CENTRO	01-01 PALACIO	PLAZA  DE SANTO DOMINGO, 14	PMR	Línea	1
01  CENTRO	01-04 JUSTICIA	CALLE  DE SANTO TOME, 7	PMR	Línea	1
01  CENTRO	01-01 PALACIO	CALLE  DE SEGOVIA, 24	PMR	Línea	1
01  CENTRO	01-01 PALACIO	CALLE  DE SEGOVIA, 29	PMR	Línea	1
01  CENTRO	01-01 PALACIO	RONDA  DE SEGOVIA, 15	PMR	Línea	1
01  CENTRO	01-01 PALACIO	RONDA  DE SEGOVIA, 47	PMR	Línea	1
01  CENTRO	01-01 PALACIO	RONDA  DE SEGOVIA, 55	PMR	Línea	1
01  CENTRO	01-01 PALACIO	RONDA  DE SEGOVIA, 85	PMR	Línea	1
01  CENTRO	01-04 JUSTICIA	CALLE  DE SERRANO ANGUITA, 10	PMR	Línea	1
01  CENTRO	01-04 JUSTICIA	CALLE  DE SERRANO ANGUITA, 18	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DE SERRANO JOVER, 4 E	PMR	Línea	1
01  CENTRO	01-01 PALACIO	CALLE  DE LA SIERPE, 4	PMR	Línea	1
01  CENTRO	01-01 PALACIO	CALLE  DE SILVA, 6A	PMR	Línea	1
01  CENTRO	01-02 EMBAJADORES	CALLE  DE LA SOMBRERERIA, 24	PMR	Línea	1
01  CENTRO	01-02 EMBAJADORES	CALLE  DE LA SOMBRERERIA, 14 A	PMR	Línea	1
01  CENTRO	01-05 UNIVERSIDAD	CALLE  DEL TESORO, 10	PMR	Línea	1
01  CENTRO	01-02 EMBAJADORES	PLAZA  DE TIRSO DE MOLINA, 13	PMR	Batería	3
01  CENTRO	01-02 EMBAJADORES	CALLE  DE TOLEDO, 49	PMR	Línea	1
01  CENTRO	01-01 PALACIO	CALLE  DE TOLEDO, 98	PMR	Línea	1
01  CENTRO	01-02 EMBAJADORES	RONDA  DE TOLEDO, 5	PMR	Línea	2
01  CENTRO	01-02 EMBAJADORES	RONDA  DE TOLEDO, 30	PMR	Línea	1
01  CENTRO	01-02 EMBAJADORES	CALLE  DE LA TORRECILLA DEL LEAL, 5	PMR	Línea	1
01  CENTRO	01-02 EMBAJADORES	CALLE  DE LOS TRES PECES, 6	PMR	Línea	1
01  CENTRO	01-02 EMBAJADORES	CALLE  DEL TRIBULETE, 16	PMR	Línea	1
01  CENTRO	01-06 SOL	CALLE  DE TRUJILLOS, 6	PMR	Línea	1
01  CENTRO	01-02 EMBAJADORES	CALLE  DE VALENCIA, 14	PMR	Línea	1
01  CENTRO	01-02 EMBAJADORES	CALLE  DE VALENCIA, 17	PMR	Línea	1
01  CENTRO	01-02 EMBAJADORES	CALLE  DE VALENCIA, 25	PMR	Línea	1
01  CENTRO	01-06 SOL	CALLE  DE LAS VENERAS, 1	PMR	Línea	1
01  CENTRO	01-04 JUSTICIA	CALLE  DE VICTOR HUGO, 5	PMR	Línea	1
01  CENTRO	01-01 PALACIO	PLAZA  DE LA VIRGEN DE LA PALOMA, 4	PMR	Línea	1
02  ARGANZUELA	02-05 DELICIAS	(Sin Asignar)	PMR	Batería	1
02  ARGANZUELA	02-03 CHOPERA	CALLE  DE AGUILON, 3	PMR	Línea	1
02  ARGANZUELA	02-03 CHOPERA	CALLE  DE AGUILON, 5	PMR	Línea	1
02  ARGANZUELA	02-03 CHOPERA	CALLE  DE AGUILON, 13	PMR	Batería	1
02  ARGANZUELA	02-03 CHOPERA	CALLE  DE AGUILON, 13	PMR	Batería	1
02  ARGANZUELA	02-03 CHOPERA	CALLE  DE AGUILON, 17	PMR	Batería	1
02  ARGANZUELA	02-03 CHOPERA	CALLE  DE AGUILON	PMR	Línea	1
02  ARGANZUELA	02-07 ATOCHA	CALLE  DE ALAMEDILLA, 2	PMR	Batería	1
02  ARGANZUELA	02-07 ATOCHA	CALLE  DE ALAMEDILLA, 29	PMR	Batería	1
02  ARGANZUELA	02-07 ATOCHA	CALLE  DE ALAMEDILLA, 33	PMR	Batería	1
02  ARGANZUELA	02-03 CHOPERA	CALLE  DE ALDEA DEL FRESNO, 11	PMR	Línea	1
02  ARGANZUELA	02-01 IMPERIAL	CALLE  DE ALEJANDRO DUMAS, 3	PMR	Línea	1
02  ARGANZUELA	02-01 IMPERIAL	CALLE  DE ALEJANDRO DUMAS, 10	PMR	Línea	1
02  ARGANZUELA	02-05 DELICIAS	CALLE  DE ALEJANDRO FERRANT, 4	PMR	Batería	1
02  ARGANZUELA	02-05 DELICIAS	CALLE  DE ALEJANDRO FERRANT, 5	PMR	Línea	2
02  ARGANZUELA	02-03 CHOPERA	CALLE  DE ALEJANDRO SAINT AUBIN, 1	PMR	Línea	1
02  ARGANZUELA	02-04 LEGAZPI	CALLE  DE ALGETE, 7	PMR	Línea	1
02  ARGANZUELA	02-05 DELICIAS	CALLE  DE ALICANTE, 5	PMR	Línea	1
02  ARGANZUELA	02-05 DELICIAS	CALLE  DE ALICANTE, 14	PMR	Línea	1
02  ARGANZUELA	02-03 CHOPERA	CALLE  DE ALONSO CARBONELL, 1	PMR	Batería	1
02  ARGANZUELA	02-06 PALOS DE MOGUER	CALLE  DE ALONSO DEL BARCO, 4	PMR	Línea	1
02  ARGANZUELA	02-06 PALOS DE MOGUER	CALLE  DE ALONSO DEL BARCO, 6	PMR	Línea	2
02  ARGANZUELA	02-06 PALOS DE MOGUER	CALLE  DE ALONSO DEL BARCO, 11	PMR	Línea	1
02  ARGANZUELA	02-07 ATOCHA	CALLE  DE ALPEDRETE, 1	PMR	Batería	1
02  ARGANZUELA	02-05 DELICIAS	CALLE  DE AMALTEA, 1 K	PMR	Línea	1
02  ARGANZUELA	02-05 DELICIAS	CALLE  DE AMALTEA	PMR	Batería	2
02  ARGANZUELA	02-06 PALOS DE MOGUER	CALLE  DEL ANCORA, 8	PMR	Línea	1
02  ARGANZUELA	02-06 PALOS DE MOGUER	CALLE  DEL ANCORA, 22	PMR	Batería	1
02  ARGANZUELA	02-06 PALOS DE MOGUER	CALLE  DEL ANCORA, 27	PMR	Batería	1
02  ARGANZUELA	02-06 PALOS DE MOGUER	CALLE  DEL ANCORA, 32	PMR	Batería	1
02  ARGANZUELA	02-04 LEGAZPI	CALLE  DE LA ANTRACITA, 2	PMR	Batería	1
02  ARGANZUELA	02-04 LEGAZPI	CALLE  DE LA ANTRACITA, 31	PMR	Línea	1
02  ARGANZUELA	02-04 LEGAZPI	CALLE  DE LA ANTRACITA, 33	PMR	Línea	1
02  ARGANZUELA	02-04 LEGAZPI	CALLE  DE LA ANTRACITA, 14 D	PMR	Batería	1
02  ARGANZUELA	02-04 LEGAZPI	CALLE  DE LA ANTRACITA, 2 C	PMR	Batería	4
02  ARGANZUELA	02-04 LEGAZPI	CALLE  DE LA ANTRACITA, 3 I	PMR	Batería	1
02  ARGANZUELA	02-02 ACACIAS	CALLE  DE ARGANDA, 4	PMR	Batería	3
02  ARGANZUELA	02-02 ACACIAS	CALLE  DE ARGANDA, 6	PMR	Batería	1
02  ARGANZUELA	02-02 ACACIAS	CALLE  DE ARGANDA, 16	PMR	Batería	1
02  ARGANZUELA	02-02 ACACIAS	CALLE  DE ARGANDA, 16	PMR	Batería	1
02  ARGANZUELA	02-02 ACACIAS	CALLE  DE ARGANDA, 40	PMR	Línea	1
02  ARGANZUELA	02-04 LEGAZPI	CALLE  DE ARIEL, 2	PMR	Línea	1
02  ARGANZUELA	02-02 ACACIAS	CALLE  DE LA ARQUITECTURA, 7	PMR	Línea	1
02  ARGANZUELA	02-02 ACACIAS	CALLE  DE LA ARQUITECTURA, 10	PMR	Batería	1
02  ARGANZUELA	02-02 ACACIAS	CALLE  DE LA ARQUITECTURA, 15	PMR	Línea	1
02  ARGANZUELA	02-02 ACACIAS	CALLE  DE LA ARQUITECTURA, 16	PMR	Batería	1
02  ARGANZUELA	02-02 ACACIAS	CALLE  DE LA ARQUITECTURA, 26	PMR	Batería	1
02  ARGANZUELA	02-02 ACACIAS	CALLE  DE LA ARQUITECTURA, 30	PMR	Batería	1
02  ARGANZUELA	02-06 PALOS DE MOGUER	RONDA  DE ATOCHA, 5	PMR	Línea	2
02  ARGANZUELA	02-06 PALOS DE MOGUER	RONDA  DE ATOCHA, 33	PMR	Línea	1
02  ARGANZUELA	02-02 ACACIAS	CALLE  DE BAÑOS DE MONTEMAYOR, 5 B	PMR	Línea	1
02  ARGANZUELA	02-06 PALOS DE MOGUER	CALLE  DE LA BATALLA DEL SALADO, 7	PMR	Línea	1
02  ARGANZUELA	02-06 PALOS DE MOGUER	CALLE  DE LA BATALLA DEL SALADO, 19	PMR	Línea	1
02  ARGANZUELA	02-05 DELICIAS	CALLE  DE LA BATALLA DEL SALADO, 33	PMR	Línea	1
